Key;Item Type;Publication Year;Author;Title;Publication Title;ISBN;ISSN;DOI;Url;Abstract Note;Date;Date Added;Date Modified;Access Date;Pages;Num Pages;Issue;Volume;Number Of Volumes;Journal Abbreviation;Short Title;Series;Series Number;Series Text;Series Title;Publisher;Place;Language;Rights;Type;Archive;Archive Location;Library Catalog;Call Number;Extra;Notes;File Attachments;Link Attachments;Manual Tags;Automatic Tags;Editor;Series Editor;Translator;Contributor;Attorney Agent;Book Author;Cast Member;Commenter;Composer;Cosponsor;Counsel;Interviewer;Producer;Recipient;Reviewed Author;Scriptwriter;Words By;Guest;Number;Edition;Running Time;Scale;Medium;Artwork Size;Filing Date;Application Number;Assignee;Issuing Authority;Country;Meeting Name;Conference Name;Court;References;Reporter;Legal Status;Priority Numbers;Programming Language;Version;System;Code;Code Number;Section;Session;Committee;History;Legislative Body
RIGV7YIV;document;1993;"Varela, Francisco J.; Thompson, Evan; Rosch, Eleanor";The Embodied Mind: Cognitive Science and Human Experience;;;;;;;1993;16/10/2018 20:32;05/02/2019 22:49;;;;;;;;;;;;;MIT Press;;English;;;;;;;;;"/Users/xander/Zotero/storage/XXZH7K9X/Varela_Thompson_Rosch_-_The_Embodied_Mind_Cognitive_Science_and_Human_Experience.pdf; /Users/xander/Zotero/storage/5AKIT2N6/Varela_Thompson_Rosch_-_The_Embodied_Mind_Cognitive_Science_and_Human_Experience.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AGYH675B;conferencePaper;2016;"Yvart, Willy; Delestage, Charles-Alexandre; Leleu-Merviel, Sylvie";SYM: toward a new tool in user's mood determination;Proceedings of the 2016 EmoVis Conference on Emotion and Visualization;;;;http://dl.acm.org/citation.cfm?id=3001319;;2016;16/10/2018 20:32;05/02/2019 22:49;;23–28;;;;;;SYM;;;;;Linkoping University;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/U7FJAGRU/ecp16103004.pdf; /Users/xander/Zotero/storage/SX96Z9Z5/ecp16103004.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QLSN4JQQ;report;2016;ITU;Recommandation ITU-T. P.913;;;;;;;2016;16/10/2018 20:32;05/02/2019 22:50;;;;;;;;;;;;;;;;;;;;;;;;"/Users/xander/Zotero/storage/AX2K8GVZ/T-REC-P.913-201603-I!!PDF-E.pdf.pdf; /Users/xander/Zotero/storage/CBXVITQM/T-REC-P.913-201603-I!!PDF-E.pdf.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JYYQS6MD;journalArticle;2016;ITU-T RECOMMENDATION, P.913;Subjective video quality assessment methods for multimedia applications;;;;;ftp://ftp.ivc.polytech.univ-nantes.fr/VQEG/MIRROR/ITS/vqeg.its.bldrdoc.gov/%252E%252E/%252E%252E/Documents/VQEG_Ghent_Sept08/MeetingFiles/T-REC-P.910-199909-I!!MSW-E.doc;;2016;16/10/2018 20:32;05/02/2019 22:50;01/03/2017 14:38;;;;;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/6I3QRBFX/T-REC-P.913-201603-I!!PDF-E.pdf.pdf; /Users/xander/Zotero/storage/S83D365M/T-REC-P.913-201603-I!!PDF-E.pdf.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSTFGVPZ;report;1996;ERC;HANDBOOK ON RADIO EQUIPMENT AND SYSTEMS RADIO MICROPHONES AND SIMPLE WIDE BAND AUDIO LINKS;;;;;http://www.apwpt.org/downloads/ercreport042radioequipmentandsystemsradiomicro.pdf;;1996;16/10/2018 20:32;16/10/2018 20:32;01/03/2017 15:08;;;;;;;;;;;;European Conference of Postal and Telecommunications Administration;Rome;English;;;;;;;;;/Users/xander/Zotero/storage/YRUQMHQH/ercreport042radioequipmentandsystemsradiomicro.pdf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CMK2Y3S7;book;1997;Leleu-Merviel, Sylvie;La conception en communication - méthodologie qualité;;2-86601-631-9;;;;;1997;16/10/2018 20:32;05/02/2019 22:48;;;;;;;;;;;;;;Paris;fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hermes;;;;;;;;;;;;;;;;;;;;;;;;;;
BT6JWGF7;report;2001;ITU;Recommandation ITU-T. J.144;;;;;http://spectrum.welter.fr/international/itu/recommendations/itu-t/fr/T-REC-E.212-200805-I!!PDF-F.pdf;;2001;16/10/2018 20:32;05/02/2019 22:48;02/03/2017 14:09;;;;;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/QLP5LHZB/dologin_pub.pdf; /Users/xander/Zotero/storage/4BUGU5IQ/dologin_pub.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZCQMLQUX;report;1998;ITU;Recommandation ITU-T. P.911;;;;;http://spectrum.welter.fr/international/itu/recommendations/itu-t/fr/T-REC-E.212-200805-I!!PDF-F.pdf;;1998;16/10/2018 20:32;05/02/2019 22:50;06/03/2017 13:39;;;;;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/FTFX36WT/dologin_pub.pdf; /Users/xander/Zotero/storage/P2SLCXAX/dologin_pub.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43XCRYYF;report;2001;ITU;Recommandation ITU-T. G.1000;;;;;http://spectrum.welter.fr/international/itu/recommendations/itu-t/fr/T-REC-E.212-200805-I!!PDF-F.pdf;;2001;16/10/2018 20:32;05/02/2019 22:50;06/03/2017 13:52;;;;;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/77EELRSM/dologin_pub.pdf; /Users/xander/Zotero/storage/RH4664MC/dologin_pub.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Z26SXGC9;presentation;2014;CSA;Baromètre de  perception de la qualité des programmes;;;;;http://www.csa.fr/content/download/46682/487038/file/Barom%C3%A8tre%20de%20%20perception%20de%20la%20qualit%C3%A9%20des%20programmes.pdf;;2014;16/10/2018 20:32;05/02/2019 22:50;06/03/2017 14:27;;;;;;;;;;;;;;fr;;;;;;;;;"/Users/xander/Zotero/storage/GSDSMU4Y/Baromètre de  perception de la qualité des programmes.pdf; /Users/xander/Zotero/storage/9HWBDXPX/Baromètre de  perception de la qualité des programmes.pdf; /Users/xander/Zotero/storage/GAJSXVX3/BAROMETRE VERSION 8 JANVIER v2 [Mode de compatibilité].pdf; /Users/xander/Zotero/storage/MWIWZHK7/BAROMETRE VERSION 8 JANVIER v2 [Mode de compatibilité].pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42CE6MC3;report;2015;CSA;Rapport Annuel;;;;;http://www.csa.fr/content/download/216245/580039/file/Rapport_annuel_2015.pdf;;2015;16/10/2018 20:32;05/02/2019 22:50;06/03/2017 14:02;;;;;;;;;;;;;;;;;;;;;;;"/Users/xander/Zotero/storage/RCNDSLGI/Rapport_annuel_2015.pdf; /Users/xander/Zotero/storage/3BJVHXTX/Rapport_annuel_2015.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92UBYM8H;journalArticle;2001;Jost, François;Series policieres et strategies de programmation;Réseaux;;0751-7971, 1777-5809;10.3917/res.109.0148;http://www.cairn.info/revue-reseaux-2001-5-page-148.htm;;2001;16/10/2018 20:32;05/02/2019 22:50;07/03/2017 14:32;148;;5;109;;;;;;;;;;fr;;;;;CrossRef;;;;"/Users/xander/Zotero/storage/ETF4Q3HV/RES_109_0148.pdf; /Users/xander/Zotero/storage/RHN8FRYB/RES_109_0148.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DFFZC56X;webpage;2012;CSA;Comment mesurer la qualité des programmes ?  - Lettre CSA n°258;;;;;http://www.csa.fr/Etudes-et-publications/Les-dossiers-d-actualite/Comment-mesurer-la-qualite-des-programmes;;2012;16/10/2018 20:32;05/02/2019 22:50;08/03/2017 13:37;;;;;;;;;;;;;;;;;;;;;;;"/Users/xander/Zotero/storage/NB6E9F6E/Comment-mesurer-la-qualite-des-programmes.html; /Users/xander/Zotero/storage/HVRHIDIJ/Comment-mesurer-la-qualite-des-programmes.html";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BBSFFNTN;journalArticle;2015;Blanc, Guillaume;‪ Les pratiques de réception télévisuelle dans les foyers à l’épreuve de l’audiovisuel numérique‪;Études de communication;;;;http://www.cairn.info/revue-etudes-de-communication-2015-1-page-63.htm;;2015;16/10/2018 20:32;05/02/2019 22:49;08/03/2017 16:21;63–78;;1;;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/QDIU9LPA/0.pdf; /Users/xander/Zotero/storage/DA7YHU67/0.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
L4D9C3WI;journalArticle;2015;J.O.;Décret n° 2009­796 du 23 juin 2009 fixant le cahier des charges de la société nationale de programme France Télévisions - Version consolidée au 21 avril 2015;Journal officiel;;;;;;2015;16/10/2018 20:32;05/02/2019 22:50;22/03/2017 10:48;;;;;;;;;;;;;;;;;;;;;;;"/Users/xander/Zotero/storage/J6VHIM78/Cahier des charges de la société nationale de programme France Télévisions.pdf; /Users/xander/Zotero/storage/W94BD6T2/Cahier des charges de la société nationale de programme France Télévisions.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M4J7ELEZ;statute;1974;J.O.;Loi n°74-696 du 7 aout 1974 relative à la radiodiffusion et à la télévision;;;;;https://www.legifrance.gouv.fr/jo_pdf_frame.do?dl;;1974;16/10/2018 20:32;05/02/2019 22:50;22/03/2017 16:59;;;;;;;;;;;;;;;;;;;;;;;"/Users/xander/Zotero/storage/LZAJWVQM/jo_pdf_frame.pdf; /Users/xander/Zotero/storage/URWA7A3G/jo_pdf_frame.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HXS25N8K;report;2015;CSA;Rapport sur l’exécution du cahier des charges  de France Télévisions;;;;;http://www.csa.fr/content/download/227805/609656/file/Bilan%20FTV%20version%20au%2022.12_retour%20FTV%20v%20finale.pdf;;2015;16/10/2018 20:32;05/02/2019 22:50;22/03/2017 09:21;;;;;;;;;;;;;;;;;;;;;;;"/Users/xander/Zotero/storage/8FPV2A7C/Bilan FTV version au 22.12_retour FTV v finale.pdf; /Users/xander/Zotero/storage/K8F3LRK9/Bilan FTV version au 22.12_retour FTV v finale.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KQ8U9SNT;book;2010;Méadel, Cécile;Quantifier le public - Histoire des mesures d'audience de la radio et de la télévision;;978-2-71789-5808-2;;;;;2010;16/10/2018 20:32;05/02/2019 22:48;;;283;;;;;;Médias et publicité;;;;;Paris;fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Economica;;;;;;;;;;;;;;;;;;;;;;;;;;
FTQ5NMCU;webpage;2017;Mediametrie;Médiamétrie › Solutions › Télévision › Médiamat;;;;;http://www.mediametrie.fr/television/solutions/mediamat.php?id=5;;2017;16/10/2018 20:32;05/02/2019 22:50;23/03/2017 16:32;;;;;;;;;;;;;;;;;;;;;;;"/Users/xander/Zotero/storage/38PZLZFR/mediamat.html; /Users/xander/Zotero/storage/IRHCSYVL/mediamat.html";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E7HBPAZD;webpage;2017;;Médiamétrie › Solutions › Télévision › Choix des programmes TV;;;;;http://www.mediametrie.fr/television/solutions/choix-des-programmes-tv.php?id=110;;2017;16/10/2018 20:32;05/02/2019 22:49;23/03/2017 16:33;;;;;;;;;;;;;;;;;;;;;;;"/Users/xander/Zotero/storage/6SH6CND2/choix-des-programmes-tv.html; /Users/xander/Zotero/storage/T5ACAHH3/choix-des-programmes-tv.html";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KSN9IZGJ;book;1989;Varela, Francisco J.;Autonomie et connaissance - Essai sur le vivant;;978-2-02-010030-4;;;;;1989;16/10/2018 20:32;05/02/2019 22:48;;;247;;;;;;La couleur des idées;;;;;Paris;fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Seuil;;;;;;;;;;;;;;;;;;;;;;;;;;
HSDW9P68;book;2008;"Tullis, Tom; Albert, William";Measuring the user experience - Collecting, analysing and preseting usability metrics;;978-0-12-373558-4;;;;;2008;16/10/2018 20:32;05/02/2019 22:48;;;336;;;;;;;;;;Morgan Kaufman;;English;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Elsevier;;;;;;;;;;;;;;;;;;;;;;;;;;
SH7XDNRY;document;1995;AFNOR;Management de la qualité et assurance de la qualité - Vocabulaire - NF EN ISO 8402 - X 50-120;;;;;;;1995;16/10/2018 20:32;05/02/2019 22:47;;;;;;;;;;;;;AFNOR;;fr - en - ger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CQWMCGYF;bookSection;2016;Toadvine, Ted;Maurice Merleau-Ponty;The Stanford Encyclopedia of Philosophy;;;;https://plato.stanford.edu/archives/win2016/entries/merleau-ponty/;"Maurice Jean Jacques Merleau-Ponty (1908–1961), Frenchphilosopher and public intellectual, was the leading academic proponent of existentialism and phenomenology in post-war France. Best known for his original and influential work on embodiment, perception, and ontology, he also made important contributions to the philosophy of art, history, language, nature, and politics.  Associated in his early years with the existentialist movement through his friendship with Jean-PaulSartre and Simone de Beauvoir, Merleau-Ponty played a central role in the dissemination of phenomenology, which he sought to integrate with Gestalt psychology, psychoanalysis, Marxism, and Saussurian linguistics. Major influences on his thinking include HenriBergson, Edmund Husserl, Martin Heidegger, Max Scheler, and Jean-PaulSartre, as well as neurologist Kurt Goldstein, Gestalt theorists suchas Wolfgang Köhler and Kurt Koffka, and literary figuresincluding Marcel Proust, Paul Claudel, and Paul Valéry. Inturn, he influenced the post-structuralist generation of Frenchthinkers who succeeded him, including Michel Foucault, Gilles Deleuze,and Jacques Derrida, whose similarities with and debt to the laterMerleau-Ponty have often been underestimated. Merleau-Ponty publishedtwo major theoretical texts during his lifetime: The Structure ofBehavior (1942 SC) andPhenomenology of Perception (1945 PP). Other importantpublications include two volumes of political philosophy, Humanismand Terror (1947 HT) and Adventures of the Dialectic(1955 AdD), as well as two books of collected essays on art,philosophy, and politics: Sense and Non-Sense([1948]1996b/1964) and Signs (1960/1964). Two unfinishedmanuscripts appeared posthumously: The Prose of the World(1969/1973), drafted in 1950–51; and The Visible and theInvisible (1964 V&I), on which he was working at the time ofhis death. Lecture notes and student transcriptions of many of hiscourses at the Sorbonne and the Collège de France have alsobeen published., For most of his career, Merleau-Ponty focused on the problems ofperception and embodiment as a starting point for clarifying therelation between the mind and the body, the objective world and theexperienced world, expression in language and art, history, politics,and nature. Although phenomenology provided the overarching frameworkfor these investigations, Merleau-Ponty also drew freely on empiricalresearch in psychology and ethology, anthropology, psychoanalysis,linguistics, and the arts. His constant points of historical referenceare Descartes, Kant, Hegel, and Marx. The characteristic approach ofMerleau-Ponty’s theoretical work is his effort to identify analternative to intellectualism or idealism, on the one hand, andempiricism or realism, on the other, by critiquing their commonpresupposition of a ready-made world and failure to account for thehistorical and embodied character of experience. In his laterwritings, Merleau-Ponty becomes increasingly critical of theintellectualist tendencies of the phenomenological method as well,although with the intention of reforming rather than abandoning it.The posthumous writings collected in The Visible and theInvisible aim to clarify the ontological implications of aphenomenology that would self-critically account for its ownlimitations. This leads him to propose concepts such as“flesh” and “chiasm” that many consider to behis most fruitful philosophical contributions., Merleau-Ponty’s thought has continued to inspire contemporaryresearch beyond the usual intellectual history and interpretivescholarship, especially in the areas of feminist philosophy,philosophy of mind and cognitive science, environmental philosophy andphilosophy of nature, political philosophy, philosophy of art,philosophy of language, and phenomenological ontology. His work hasalso been widely influential on researchers outside the discipline ofphilosophy proper, especially in anthropology, architecture, the arts,cognitive science, environmental theory, film studies, linguistics,literature, and political theory.";2016;16/10/2018 20:32;05/02/2019 22:51;28/03/2017 13:38;;;;;;;;;;;;Metaphysics Research Lab, Stanford University;;;;;;;Stanford Encyclopedia of Philosophy;;;;"/Users/xander/Zotero/storage/2CNY8E3Y/merleau-ponty.html; /Users/xander/Zotero/storage/LZSZMHKJ/merleau-ponty.html";;;;Zalta, Edward N.;;;;;;;;;;;;;;;;;;;Winter 2016;;;;;;;;;;;;;;;;;;;;;;;;;;
6JUR9344;bookSection;2017;"Wilson, Robert A.; Foglia, Lucia";Embodied Cognition;The Stanford Encyclopedia of Philosophy;;;;https://plato.stanford.edu/archives/spr2017/entries/embodied-cognition/;;2017;16/10/2018 20:32;05/02/2019 22:49;;;;;;;;;;;;;Metaphysics Research Lab, Stanford University;;;;;;;Stanford Encyclopedia of Philosophy;;;;"/Users/xander/Zotero/storage/3INHLN5B/embodied-cognition.html; /Users/xander/Zotero/storage/RDLU4MDV/embodied-cognition.html; /Users/xander/Zotero/storage/53TKAL38/embodied-cognition.html; /Users/xander/Zotero/storage/L92EVA4D/embodied-cognition.html";;"agency; cognitive science; mental representation; mind: computational theory of; mind: modularity of; moral psychology: empirical approaches";;Zalta, Edward N.;;;;;;;;;;;;;;;;;;;Spring 2017;;;;;;;;;;;;;;;;;;;;;;;;;;
KH6TVKBU;book;1977;Mc Lulan, Marshall;Pour comprendre les médias;;978-2-02-004594-0;;;;;1977;16/10/2018 20:32;05/02/2019 22:48;;;404;;;;;;Essais;;;;;Paris;fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Points;;;;;;;;;;;;;;;;;;;;;;;;;;
DALFW5S4;book;2014;"Sauvage, Monique; Veyrat-Masson, Isabelle";Histoire de la télévision française;;978-2-36942-042-2;;;;;2014;16/10/2018 20:32;05/02/2019 22:48;;;;;;;;;;;;;;Paris;fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nouveau Monde;;;;;;;;;;;;;;;;;;;;;;;;;;
ZH6VMN2Z;book;2016;Merleau-Ponty, Maurice;Phénoménologie de la perception;;978-2-07-029337-7;;;;;2016;16/10/2018 20:32;05/02/2019 22:48;;;;;;;;;Tel;;;;;Paris;fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gallimard;;;;;;;;;;;;;;;;;;;;;;;;;;
G6DWWQEY;book;2017;Miège, Bernard;Les industries culturelles et créatives face à l'ordre de l'information et de la communication;;978-2-7061-2643-7;;;;;2017;16/10/2018 20:32;05/02/2019 22:48;;;;;;;;;;;;;;Fontaine;fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Presses Universitaires de Grenoble;;;;;;;;;;;;;;;;;;;;;;;;;;
MZWIHT89;book;1993;"Varela, Francisco J.; Thompson, Evan; Rosch, Eleanor";L'inscription corporelle de l'esprit - Sciences cognitives et expérience humaine;;978-2-02-013492-7;;;;;1993;16/10/2018 20:32;05/02/2019 22:48;;;;;;;;;La couleur des idées;;;;;Paris;fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Seuil;;;;;;;;;;;;;;;;;;;;;;;;;;
25GXXQ8A;bookSection;2006;"Wilson, Deirdre; Sperber, Dan";Relevance Theory;The Handbook of Pragmatics;978-0-631-22548-5;;;;;2006;16/10/2018 20:32;05/02/2019 22:48;;;;;;;;;;;;;Blackwell Publishing;Eastbourne;English;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Laurence R. Horn and Gregory Ward;;;;;;;;;;;;;;;;;;;;;;;;;;
VARYM7IU;journalArticle;1981;J, Varela F.;Autonomy and autopoiesis;;;;;http://www.univie.ac.at/constructivism/archive/fulltexts/2063.html;;1981;16/10/2018 20:32;05/02/2019 22:50;31/03/2017 14:50;14-24;;;;;;;;;;;;;;;;;;www.univie.ac.at;;;;"/Users/xander/Zotero/storage/PY3YHM7V/2063.html; /Users/xander/Zotero/storage/4HAK77QG/2063.html";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F8IFAKNA;book;2004;Miège, Bernard;L'information - communication, objet de connaissance;;2-8041-4668-5;;;;;2004;16/10/2018 20:32;05/02/2019 22:48;;;;;;;;;Médias recherches;;;;INA;Bruxelles;fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;De Boeck Université;;;;;;;;;;;;;;;;;;;;;;;;;;
K6YSPJ6S;journalArticle;1970;Bodin, Jean-Louis;L'équipement des ménages en téléphone en 1968;Economie et statistique;;0336-1454;10.3406/estat.1970.1984;http://www.persee.fr/web/revues/home/prescript/article/estat_0336-1454_1970_num_15_1_1984;;1970;16/10/2018 20:32;05/02/2019 22:49;02/04/2017 11:41;57-60;;1;15;;;;;;;;;;fr;;;;;CrossRef;;;;"/Users/xander/Zotero/storage/H69I8EZU/estat_0336-1454_1970_num_15_1_1984.pdf; /Users/xander/Zotero/storage/8IMI7MSK/estat_0336-1454_1970_num_15_1_1984.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C7IUVRE5;book;2008;Leleu-Merviel, Sylvie;Objectiver l'humain ? Volume 1 - qualification, quantification;;978-2-7462-1553-5;;;;;2008;16/10/2018 20:32;05/02/2019 22:48;;;;;;;;;;;;;Hermes Science;Paris;fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lavoisier;;;;;;;;;;;;;;;;;;;;;;;;;;
H733H8XZ;bookSection;1986;Miège, Bernard;Les logiques à l'oeuvre dans les nouvelles industries culturelles;Cahiers de recherche sociologique;;;;;;1986;16/10/2018 20:32;05/02/2019 22:50;;93-110;;;4;;;;;;;;;;;;;;;;;;;"/Users/xander/Zotero/storage/MDTEQR5R/1002005ar.pdf; /Users/xander/Zotero/storage/JYH68TWK/1002005ar.pdf";;;;;;;;;;;;;;;;;;;;;;;Athéna éditions;;;;;;;;;;;;;;;;;;;;;;;;;;
XUX4RBZB;journalArticle;1984;"Beaud, Paul; Flichy, Patrice; Sauvage, Monique; UNESCO";La télévision comme industrie culturelle;Réseaux;;0751-7971;10.3406/reso.1984.1142;http://www.persee.fr/web/revues/home/prescript/article/reso_0751-7971_1984_num_2_9_1142;;1984;16/10/2018 20:32;05/02/2019 22:49;06/04/2017 14:43;mars-21;;9;2;;;;;;;;;;fr;;;;;CrossRef;;;;"/Users/xander/Zotero/storage/4XMQLR4A/reso_0751-7971_1984_num_2_9_1142.pdf; /Users/xander/Zotero/storage/3NG3MMJQ/reso_0751-7971_1984_num_2_9_1142.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2YADV7LX;journalArticle;2013;Bonnell, René;Le financement de la production et de la distribution cinématographiques À l’heure du numérique;Centre National de la Cinématographie et de l’Image animée;;;;http://www.academia.edu/download/36679358/Bonnell.pdf;;2013;16/10/2018 20:32;05/02/2019 22:49;10/04/2017 09:04;;;;;;;;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/28TNQQ4K/rapports.pdf; /Users/xander/Zotero/storage/EQ24R4SC/rapports.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P5DDCC3X;report;2017;CNC;La production cinématographique en 2016;;;;;http://www.cnc.fr/web/fr/publications?p_p_auth=2fIumk6p&p_p_id=20&p_p_lifecycle=1&p_p_state=exclusive&p_p_mode=view&p_p_col_id=column-1&p_p_col_pos=1&p_p_col_count=2&_20_struts_action=%2Fdocument_library%2Fget_file&_20_folderId=11088253&_20_name=DLFE-30901.pdf;;2017;16/10/2018 20:32;05/02/2019 22:50;10/04/2017 09:17;;;;;;;;;;;Les études du CNC;CNC;Paris;fr;;;;;;;;;"/Users/xander/Zotero/storage/SN329LUI/publications.pdf; /Users/xander/Zotero/storage/P3GB2S79/publications.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BGIJUWMN;book;2015;Toussaint Desmoulins, Nadine;L'économie des médias;;978-2-13-065064-5;;;;;2015;16/10/2018 20:32;05/02/2019 22:48;;;;;;;;;Que sais-je ?;;;;;Paris;fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;puf;;;;;;;;;;;;;;;;;;;;;;;;;;
54VLSRK6;report;2016;"Farchy, Joëlle; Moreau, François; others";L’économie numérique de la distribution des ø euvres et le financement de la création;;;;;http://la-rem.eu/wp-content/uploads/2017/03/Economie-nume%CC%81rique-financement-de-la-cre%CC%81ation.pdf;;2016;16/10/2018 20:32;05/02/2019 22:50;10/04/2017 10:41;;;;;;;;;;;;HAL;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/FBVJXIGE/Economie numérique & financement de la création.pdf; /Users/xander/Zotero/storage/T9DMP75X/Economie numérique & financement de la création.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FB6RVYUP;journalArticle;2014;Laurent, Roxane;Les industries culturelles en France et en Europe: points de repère et de comparaison;Culture chiffres;;;;http://www.cairn.info/resume.php?ID_ARTICLE=CULC_147_0001;;2014;16/10/2018 20:32;05/02/2019 22:50;10/04/2017 10:54;1–20;;7;;;;Les industries culturelles en France et en Europe;;;;;;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/3RNVDS9J/CC-2014-7_Industries culturelles France et Europe.pdf; /Users/xander/Zotero/storage/BMPXE3BK/CC-2014-7_Industries culturelles France et Europe.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XGHDXDMK;conferencePaper;2016;"Muszynski, Michal; Kostoulas, Theodoros; Lombardo, Patrizia; Pun, Thierry; Chanel, Guillaume";Synchronization among Groups of Spectators for Highlight Detection in Movies;Proceedings of the 2016 ACM on Multimedia Conference;;;;http://dl.acm.org/citation.cfm?id=2967229;;2016;16/10/2018 20:32;05/02/2019 22:51;10/04/2017 11:12;292–296;;;;;;;;;;;ACM;;;;;;;Google Scholar;;;;"/Users/xander/Zotero/storage/VZFFHBJH/unige_85616_attachment01.pdf; /Users/xander/Zotero/storage/RVXNI7SL/unige_85616_attachment01.pdf";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QRL2Z8MH;book;2006;Mugur-Schächter, Mioara;Sur le tissage des connaissances;;978-2-7462-1438-5;;;;;2006;16/10/2018 20:32;05/02/2019 22:50;;;;;;;;;;;;;Hermes Science;Paris;fr;;;;;;;;;"/Users/xander/Zotero/storage/745YELTH/TISSAGE entier PDF.pdf; /Users/xander/Zotero/storage/MCYMICZK/TISSAGE entier PDF.pdf";;;;;;;;;;;;;;;;;;;;;;;Lavoisier;;;;;;;;;;;;;;;;;;;;;;;;;;
